"Freq [MHz]","((mag(V_out.v)*mag(I_out.i))/(mag(V_in.v)*mag(I_in.i)))*100 []"
6.0774,12.7603648343005
6.0775,12.7647081257404
6.0776,12.7690530718012
6.0777,12.7733996731508
6.0778,12.7777479304579
6.0779,12.782097844391
6.078,12.7864494156191
6.0781,12.7908026448114
6.0782,12.7951575326374
6.0783,12.7995140797668
6.0784,12.8038722868695
6.0785,12.8082321546158
6.0786,12.8125936836761
6.0787,12.8169568747213
6.0788,12.8213217284223
6.0789,12.8256882454503
6.079,12.8300564264769
6.0791,12.8344262721739
6.0792,12.8387977832132
6.0793,12.8431709602672
6.0794,12.8475458040084
6.0795,12.8519223151096
6.0796,12.8563004942439
6.0797,12.8606803420846
6.0798,12.8650618593053
6.0799,12.8694450465797
6.08,12.873829904582
6.0801,12.8782164339866
6.0802,12.882604635468
6.0803,12.8869945097012
6.0804,12.8913860573611
6.0805,12.8957792791233
6.0806,12.9001741756634
6.0807,12.9045707476571
6.0808,12.9089689957808
6.0809,12.9133689207108
6.081,12.9177705231239
6.0811,12.9221738036968
6.0812,12.9265787631069
6.0813,12.9309854020316
6.0814,12.9353937211485
6.0815,12.9398037211357
6.0816,12.9442154026714
6.0817,12.948628766434
6.0818,12.9530438131024
6.0819,12.9574605433554
6.082,12.9618789578724
6.0821,12.9662990573329
6.0822,12.9707208424167
6.0823,12.9751443138038
6.0824,12.9795694721746
6.0825,12.9839963182095
6.0826,12.9884248525894
6.0827,12.9928550759953
6.0828,12.9972869891087
6.0829,13.0017205926112
6.083,13.0061558871844
6.0831,13.0105928735107
6.0832,13.0150315522723
6.0833,13.0194719241519
6.0834,13.0239139898324
6.0835,13.028357749997
6.0836,13.032803205329
6.0837,13.0372503565122
6.0838,13.0416992042305
6.0839,13.046149749168
6.084,13.0506019920093
6.0841,13.0550559334391
6.0842,13.0595115741423
6.0843,13.0639689148042
6.0844,13.0684279561103
6.0845,13.0728886987462
6.0846,13.0773511433982
6.0847,13.0818152907524
6.0848,13.0862811414954
6.0849,13.090748696314
6.085,13.0952179558953
6.0851,13.0996889209265
6.0852,13.1041615920953
6.0853,13.1086359700896
6.0854,13.1131120555973
6.0855,13.117589849307
6.0856,13.1220693519072
6.0857,13.1265505640868
6.0858,13.131033486535
6.0859,13.1355181199411
6.086,13.140004464995
6.0861,13.1444925223864
6.0862,13.1489822928057
6.0863,13.1534737769433
6.0864,13.1579669754898
6.0865,13.1624618891363
6.0866,13.1669585185741
6.0867,13.1714568644946
6.0868,13.1759569275896
6.0869,13.1804587085511
6.087,13.1849622080716
6.0871,13.1894674268434
6.0872,13.1939743655594
6.0873,13.1984830249127
6.0874,13.2029934055966
6.0875,13.2075055083049
6.0876,13.2120193337312
6.0877,13.2165348825698
6.0878,13.221052155515
6.0879,13.2255711532616
6.088,13.2300918765043
6.0881,13.2346143259386
6.0882,13.2391385022596
6.0883,13.2436644061632
6.0884,13.2481920383453
6.0885,13.2527213995022
6.0886,13.2572524903304
6.0887,13.2617853115266
6.0888,13.2663198637878
6.0889,13.2708561478113
6.089,13.2753941642948
6.0891,13.2799339139359
6.0892,13.2844753974328
